Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+04,-2.00E+00,0.00E+00,0.00E+00,-1.68E-21,3.62E-17,3.25E-16
1.00E+04,-1.95E+00,0.00E+00,0.00E+00,5.74E-22,3.62E-17,3.25E-16
1.00E+04,-1.90E+00,0.00E+00,0.00E+00,-6.76E-22,3.61E-17,3.25E-16
1.00E+04,-1.85E+00,0.00E+00,0.00E+00,-1.38E-21,3.61E-17,3.24E-16
1.00E+04,-1.80E+00,0.00E+00,0.00E+00,-6.76E-22,3.61E-17,3.24E-16
1.00E+04,-1.75E+00,0.00E+00,0.00E+00,-1.68E-21,3.61E-17,3.24E-16
1.00E+04,-1.70E+00,0.00E+00,0.00E+00,-2.07E-21,3.60E-17,3.24E-16
1.00E+04,-1.65E+00,0.00E+00,0.00E+00,-8.54E-22,3.60E-17,3.24E-16
1.00E+04,-1.60E+00,0.00E+00,0.00E+00,6.37E-22,3.60E-17,3.23E-16
1.00E+04,-1.55E+00,0.00E+00,0.00E+00,-5.74E-22,3.59E-17,3.23E-16
1.00E+04,-1.50E+00,0.00E+00,0.00E+00,1.66E-22,3.59E-17,3.23E-16
1.00E+04,-1.45E+00,0.00E+00,0.00E+00,-1.05E-21,3.58E-17,3.23E-16
1.00E+04,-1.40E+00,0.00E+00,0.00E+00,1.53E-22,3.58E-17,3.22E-16
1.00E+04,-1.35E+00,0.00E+00,0.00E+00,-1.07E-21,3.57E-17,3.22E-16
1.00E+04,-1.30E+00,0.00E+00,0.00E+00,-5.10E-23,3.57E-17,3.22E-16
1.00E+04,-1.25E+00,0.00E+00,0.00E+00,-1.47E-21,3.56E-17,3.21E-16
1.00E+04,-1.20E+00,0.00E+00,0.00E+00,-1.58E-21,3.55E-17,3.21E-16
1.00E+04,-1.15E+00,0.00E+00,0.00E+00,-3.82E-23,3.55E-17,3.20E-16
1.00E+04,-1.10E+00,0.00E+00,0.00E+00,1.13E-21,3.54E-17,3.20E-16
1.00E+04,-1.05E+00,0.00E+00,0.00E+00,6.63E-22,3.53E-17,3.19E-16
1.00E+04,-1.00E+00,0.00E+00,0.00E+00,-6.25E-22,3.52E-17,3.19E-16
1.00E+04,-9.50E-01,0.00E+00,0.00E+00,2.65E-21,3.51E-17,3.18E-16
1.00E+04,-9.00E-01,0.00E+00,0.00E+00,1.26E-21,3.49E-17,3.17E-16
1.00E+04,-8.50E-01,0.00E+00,0.00E+00,-4.46E-22,3.48E-17,3.16E-16
1.00E+04,-8.00E-01,0.00E+00,0.00E+00,1.34E-21,3.46E-17,3.16E-16
1.00E+04,-7.50E-01,0.00E+00,0.00E+00,-2.28E-21,3.45E-17,3.15E-16
1.00E+04,-7.00E-01,0.00E+00,0.00E+00,-4.59E-22,3.42E-17,3.13E-16
1.00E+04,-6.50E-01,0.00E+00,0.00E+00,9.31E-22,3.40E-17,3.12E-16
1.00E+04,-6.00E-01,0.00E+00,0.00E+00,2.01E-21,3.37E-17,3.11E-16
1.00E+04,-5.50E-01,0.00E+00,0.00E+00,-3.57E-22,3.34E-17,3.09E-16
1.00E+04,-5.00E-01,0.00E+00,0.00E+00,1.53E-21,3.31E-17,3.07E-16
1.00E+04,-4.50E-01,0.00E+00,0.00E+00,-7.01E-22,3.26E-17,3.05E-16
1.00E+04,-4.00E-01,0.00E+00,0.00E+00,8.54E-22,3.22E-17,3.02E-16
1.00E+04,-3.50E-01,0.00E+00,0.00E+00,1.80E-21,3.16E-17,2.99E-16
1.00E+04,-3.00E-01,0.00E+00,0.00E+00,5.74E-22,3.09E-17,2.96E-16
1.00E+04,-2.50E-01,0.00E+00,0.00E+00,9.18E-22,3.01E-17,2.91E-16
1.00E+04,-2.00E-01,0.00E+00,0.00E+00,-1.91E-22,2.92E-17,2.87E-16
1.00E+04,-1.50E-01,0.00E+00,0.00E+00,-4.46E-22,2.80E-17,2.81E-16
1.00E+04,-1.00E-01,0.00E+00,0.00E+00,-2.55E-23,2.67E-17,2.74E-16
1.00E+04,-5.00E-02,0.00E+00,0.00E+00,-1.15E-22,2.51E-17,2.66E-16
1.00E+04,3.10E-16,0.00E+00,0.00E+00,2.00E-21,2.33E-17,2.56E-16
1.00E+04,5.00E-02,0.00E+00,0.00E+00,-4.32E-21,2.12E-17,2.45E-16
1.00E+04,1.00E-01,0.00E+00,0.00E+00,-1.01E-21,1.89E-17,2.32E-16
1.00E+04,1.50E-01,0.00E+00,0.00E+00,9.05E-22,1.64E-17,2.18E-16
1.00E+04,2.00E-01,0.00E+00,0.00E+00,-2.14E-21,1.38E-17,2.03E-16
1.00E+04,2.50E-01,0.00E+00,0.00E+00,-8.03E-22,1.14E-17,1.88E-16
1.00E+04,3.00E-01,0.00E+00,0.00E+00,-3.66E-21,9.26E-18,1.75E-16
1.00E+04,3.50E-01,0.00E+00,0.00E+00,1.35E-21,7.45E-18,1.62E-16
1.00E+04,4.00E-01,0.00E+00,0.00E+00,-1.66E-21,6.00E-18,1.52E-16
1.00E+04,4.50E-01,0.00E+00,0.00E+00,-1.12E-21,4.85E-18,1.42E-16
1.00E+04,5.00E-01,0.00E+00,0.00E+00,1.78E-21,3.94E-18,1.35E-16
1.00E+04,5.50E-01,0.00E+00,0.00E+00,-8.80E-22,3.22E-18,1.28E-16
1.00E+04,6.00E-01,0.00E+00,0.00E+00,-1.25E-21,2.69E-18,1.22E-16
