Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+00,-2.00E+00,0.00E+00,0.00E+00,3.30E-20,3.64E-25,3.26E-16
1.00E+00,-1.95E+00,0.00E+00,0.00E+00,7.01E-22,3.63E-25,3.26E-16
1.00E+00,-1.90E+00,0.00E+00,0.00E+00,1.33E-21,3.63E-25,3.26E-16
1.00E+00,-1.85E+00,0.00E+00,0.00E+00,-4.84E-22,3.63E-25,3.26E-16
1.00E+00,-1.80E+00,0.00E+00,0.00E+00,1.11E-21,3.63E-25,3.26E-16
1.00E+00,-1.75E+00,0.00E+00,0.00E+00,-1.36E-21,3.63E-25,3.26E-16
1.00E+00,-1.70E+00,0.00E+00,0.00E+00,1.48E-21,3.63E-25,3.25E-16
1.00E+00,-1.65E+00,0.00E+00,0.00E+00,2.80E-22,3.63E-25,3.25E-16
1.00E+00,-1.60E+00,0.00E+00,0.00E+00,-1.40E-22,3.62E-25,3.25E-16
1.00E+00,-1.55E+00,0.00E+00,0.00E+00,-1.08E-21,3.62E-25,3.25E-16
1.00E+00,-1.50E+00,0.00E+00,0.00E+00,6.12E-22,3.62E-25,3.25E-16
1.00E+00,-1.45E+00,0.00E+00,0.00E+00,2.05E-21,3.62E-25,3.25E-16
1.00E+00,-1.40E+00,0.00E+00,0.00E+00,9.18E-22,3.61E-25,3.25E-16
1.00E+00,-1.35E+00,0.00E+00,0.00E+00,-5.99E-22,3.61E-25,3.24E-16
1.00E+00,-1.30E+00,0.00E+00,0.00E+00,-9.82E-22,3.61E-25,3.24E-16
1.00E+00,-1.25E+00,0.00E+00,0.00E+00,-9.43E-22,3.61E-25,3.24E-16
1.00E+00,-1.20E+00,0.00E+00,0.00E+00,-2.55E-22,3.60E-25,3.24E-16
1.00E+00,-1.15E+00,0.00E+00,0.00E+00,-2.29E-22,3.60E-25,3.24E-16
1.00E+00,-1.10E+00,0.00E+00,0.00E+00,4.08E-22,3.60E-25,3.23E-16
1.00E+00,-1.05E+00,0.00E+00,0.00E+00,-3.19E-22,3.59E-25,3.23E-16
1.00E+00,-1.00E+00,0.00E+00,0.00E+00,-6.50E-22,3.59E-25,3.23E-16
1.00E+00,-9.50E-01,0.00E+00,0.00E+00,-3.31E-22,3.58E-25,3.23E-16
1.00E+00,-9.00E-01,0.00E+00,0.00E+00,2.93E-22,3.58E-25,3.22E-16
1.00E+00,-8.50E-01,0.00E+00,0.00E+00,-1.20E-21,3.57E-25,3.22E-16
1.00E+00,-8.00E-01,0.00E+00,0.00E+00,2.55E-23,3.57E-25,3.22E-16
1.00E+00,-7.50E-01,0.00E+00,0.00E+00,-2.03E-21,3.56E-25,3.21E-16
1.00E+00,-7.00E-01,0.00E+00,0.00E+00,-4.19E-21,3.55E-25,3.21E-16
1.00E+00,-6.50E-01,0.00E+00,0.00E+00,1.78E-22,3.55E-25,3.20E-16
1.00E+00,-6.00E-01,0.00E+00,0.00E+00,1.42E-21,3.54E-25,3.20E-16
1.00E+00,-5.50E-01,0.00E+00,0.00E+00,2.42E-22,3.53E-25,3.19E-16
1.00E+00,-5.00E-01,0.00E+00,0.00E+00,-1.47E-21,3.52E-25,3.19E-16
1.00E+00,-4.50E-01,0.00E+00,0.00E+00,1.62E-21,3.51E-25,3.18E-16
1.00E+00,-4.00E-01,0.00E+00,0.00E+00,1.61E-21,3.49E-25,3.17E-16
1.00E+00,-3.50E-01,0.00E+00,0.00E+00,-8.54E-22,3.48E-25,3.16E-16
1.00E+00,-3.00E-01,0.00E+00,0.00E+00,1.68E-21,3.46E-25,3.16E-16
1.00E+00,-2.50E-01,0.00E+00,0.00E+00,-2.65E-21,3.45E-25,3.15E-16
1.00E+00,-2.00E-01,0.00E+00,0.00E+00,2.19E-21,3.42E-25,3.13E-16
1.00E+00,-1.50E-01,0.00E+00,0.00E+00,1.54E-21,3.40E-25,3.12E-16
1.00E+00,-1.00E-01,0.00E+00,0.00E+00,2.33E-21,3.37E-25,3.11E-16
1.00E+00,-5.00E-02,0.00E+00,0.00E+00,-3.57E-22,3.34E-25,3.09E-16
1.00E+00,3.10E-16,0.00E+00,0.00E+00,1.43E-21,3.31E-25,3.07E-16
1.00E+00,5.00E-02,0.00E+00,0.00E+00,-1.82E-21,3.26E-25,3.05E-16
1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.91E-22,3.22E-25,3.02E-16
1.00E+00,1.50E-01,0.00E+00,0.00E+00,2.91E-21,3.16E-25,2.99E-16
1.00E+00,2.00E-01,0.00E+00,0.00E+00,1.53E-22,3.09E-25,2.96E-16
1.00E+00,2.50E-01,0.00E+00,0.00E+00,1.08E-21,3.01E-25,2.91E-16
1.00E+00,3.00E-01,0.00E+00,0.00E+00,-7.39E-22,2.92E-25,2.87E-16
1.00E+00,3.50E-01,0.00E+00,0.00E+00,-1.61E-21,2.80E-25,2.81E-16
1.00E+00,4.00E-01,0.00E+00,0.00E+00,4.33E-22,2.67E-25,2.74E-16
1.00E+00,4.50E-01,0.00E+00,0.00E+00,1.25E-21,2.51E-25,2.66E-16
1.00E+00,5.00E-01,0.00E+00,0.00E+00,-8.92E-23,2.33E-25,2.56E-16
1.00E+00,5.50E-01,0.00E+00,0.00E+00,-4.45E-21,2.12E-25,2.45E-16
1.00E+00,6.00E-01,0.00E+00,0.00E+00,-1.87E-21,1.89E-25,2.32E-16
1.00E+00,6.50E-01,0.00E+00,0.00E+00,-2.55E-23,1.64E-25,2.18E-16
1.00E+00,7.00E-01,0.00E+00,0.00E+00,-1.73E-21,1.38E-25,2.03E-16
1.00E+00,7.50E-01,0.00E+00,0.00E+00,2.17E-22,1.14E-25,1.88E-16
1.00E+00,8.00E-01,0.00E+00,0.00E+00,-1.64E-21,9.26E-26,1.75E-16
