"Frequency","Anode Voltage","Anode Current","Cathode Voltage","Cathode Current","G Anode>Anode","C Anode>Anode","G Cathode>Anode","C Cathode>Anode","G Anode>Cathode","C Anode>Cathode","G Cathode>Cathode","C Cathode>Cathode"
1.0000000000e-03,-5.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.3456572230e-20,-4.7449105960e-32,-3.2792905410e-16,-2.4089608480e-20,3.2792905410e-16,4.7449105960e-32,3.2792905410e-16,7.1502260890e-19,-3.2792905410e-16
1.0000000000e-03,-4.9000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6102724210e-20,-4.7439512150e-32,-3.2786484030e-16,5.2753834430e-20,3.2786484030e-16,4.7439512150e-32,3.2786484030e-16,-5.5722451590e-19,-3.2786484030e-16
1.0000000000e-03,-4.8000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9167737640e-20,-4.7429204940e-32,-3.2779718140e-16,-1.5844300760e-19,3.2779718140e-16,4.7429204940e-32,3.2779718140e-16,-1.2969030770e-18,-3.2779718140e-16
1.0000000000e-03,-4.7000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.0187588610e-20,-4.7418119460e-32,-3.2772579880e-16,5.3911833790e-20,3.2772579880e-16,4.7418119460e-32,3.2772579880e-16,-2.3866961570e-18,-3.2772579880e-16
1.0000000000e-03,-4.6000000000e+00,0.0000000000e+00,0.0000000000e+00,4.5893293490e-20,-4.7406183330e-32,-3.2765038400e-16,-3.9929215450e-20,3.2765038400e-16,4.7406183330e-32,3.2765038400e-16,-1.4103204560e-18,-3.2765038400e-16
1.0000000000e-03,-4.5000000000e+00,0.0000000000e+00,0.0000000000e+00,6.9349865720e-21,-4.7393315520e-32,-3.2757059370e-16,3.2362567600e-21,3.2757059370e-16,4.7393315520e-32,3.2757059370e-16,2.0563064000e-18,-3.2757059370e-16
1.0000000000e-03,-4.4000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4277913530e-20,-4.7379425150e-32,-3.2748604570e-16,8.5019217160e-20,3.2748604570e-16,4.7379425150e-32,3.2748604570e-16,1.3758021230e-18,-3.2748604570e-16
1.0000000000e-03,-4.3000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.6709174260e-20,-4.7364409960e-32,-3.2739631260e-16,1.0050274850e-20,3.2739631260e-16,4.7364409960e-32,3.2739631260e-16,-1.9034394970e-18,-3.2739631260e-16
1.0000000000e-03,-4.2000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6521585660e-20,-4.7348154540e-32,-3.2730091540e-16,6.3824804320e-20,3.2730091540e-16,4.7348154540e-32,3.2730091540e-16,8.8761427320e-20,-3.2730091540e-16
1.0000000000e-03,-4.1000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3054092370e-20,-4.7330528270e-32,-3.2719931570e-16,1.5053585730e-19,3.2719931570e-16,4.7330528270e-32,3.2719931570e-16,9.3692617720e-20,-3.2719931570e-16
1.0000000000e-03,-4.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6929526040e-20,-4.7311382800e-32,-3.2709090630e-16,1.3372857940e-19,3.2709090630e-16,4.7311382800e-32,3.2709090630e-16,1.0947242700e-18,-3.2709090630e-16
1.0000000000e-03,-3.9000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.4873442520e-20,-4.7290549080e-32,-3.2697499980e-16,1.4038608510e-19,3.2697499980e-16,4.7290549080e-32,3.2697499980e-16,-1.1982792690e-18,-3.2697499980e-16
1.0000000000e-03,-3.8000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.8340935810e-20,-4.7267833780e-32,-3.2685081570e-16,-2.6998035100e-20,3.2685081570e-16,4.7267833780e-32,3.2685081570e-16,-1.6272928340e-18,-3.2685081570e-16
1.0000000000e-03,-3.7000000000e+00,0.0000000000e+00,0.0000000000e+00,5.3032250260e-21,-4.7243014930e-32,-3.2671746420e-16,-1.2579170920e-20,3.2671746420e-16,4.7243014930e-32,3.2671746420e-16,-2.1204118750e-19,-3.2671746420e-16
1.0000000000e-03,-3.6000000000e+00,0.0000000000e+00,0.0000000000e+00,4.4465502140e-20,-4.7215836720e-32,-3.2657392680e-16,-5.3295698150e-20,3.2657392680e-16,4.7215836720e-32,3.2657392680e-16,-4.3394475580e-19,-3.2657392680e-16
1.0000000000e-03,-3.5000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1212900100e-20,-4.7186003010e-32,-3.2641903300e-16,-5.3525215380e-20,3.2641903300e-16,4.7186003010e-32,3.2641903300e-16,-2.1845173500e-18,-3.2641903300e-16
1.0000000000e-03,-3.4000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6516125120e-21,-4.7153169460e-32,-3.2625143140e-16,-4.8298309040e-20,3.2625143140e-16,4.7153169460e-32,3.2625143140e-16,-1.8393340220e-18,-3.2625143140e-16
1.0000000000e-03,-3.3000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.0176667550e-20,-4.7116933790e-32,-3.2606955440e-16,-3.9091749350e-21,3.2606955440e-16,4.7116933790e-32,3.2606955440e-16,-6.7557308570e-19,-3.2606955440e-16
1.0000000000e-03,-3.2000000000e+00,0.0000000000e+00,0.0000000000e+00,2.2640691450e-20,-4.7076823690e-32,-3.2587157510e-16,2.4652870660e-20,3.2587157510e-16,4.7076823690e-32,3.2587157510e-16,-5.9667403920e-19,-3.2587157510e-16
1.0000000000e-03,-3.1000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.6516125120e-21,-4.7032281580e-32,-3.2565535220e-16,1.0820535590e-19,3.2565535220e-16,4.7032281580e-32,3.2565535220e-16,2.2190356830e-19,-3.2565535220e-16
1.0000000000e-03,-3.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8555827060e-20,-4.6982645600e-32,-3.2541836300e-16,4.9974879500e-21,3.2541836300e-16,4.6982645600e-32,3.2541836300e-16,4.9311904140e-21,-3.2541836300e-16
1.0000000000e-03,-2.9000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2442181790e-20,-4.6927125330e-32,-3.2515761670e-16,9.2330141870e-20,3.2515761670e-16,4.6927125330e-32,3.2515761670e-16,-1.0897930800e-18,-3.2515761670e-16
1.0000000000e-03,-2.8000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.8759797250e-20,-4.6864770860e-32,-3.2486954610e-16,3.4576603860e-20,3.2486954610e-16,4.6864770860e-32,3.2486954610e-16,-3.6983928050e-19,-3.2486954610e-16
1.0000000000e-03,-2.7000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4277913530e-21,-4.6794432890e-32,-3.2454986790e-16,2.6474757680e-20,3.2454986790e-16,4.6794432890e-32,3.2454986790e-16,-3.0080261480e-19,-3.2454986790e-16
1.0000000000e-03,-2.6000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7128035710e-20,-4.6714711060e-32,-3.2419340260e-16,-1.2730964860e-20,3.2419340260e-16,4.6714711060e-32,3.2419340260e-16,-1.5138754550e-18,-3.2419340260e-16
1.0000000000e-03,-2.5000000000e+00,0.0000000000e+00,0.0000000000e+00,9.9945394710e-21,-4.6623886270e-32,-3.2379384080e-16,-4.6919038550e-20,3.2379384080e-16,4.6623886270e-32,3.2379384080e-16,-1.8491964020e-18,-3.2379384080e-16
1.0000000000e-03,-2.4000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.5694783820e-20,-4.6519831560e-32,-3.2334343610e-16,-7.2193345400e-20,3.2334343610e-16,4.6519831560e-32,3.2334343610e-16,-2.8551592450e-18,-3.2334343610e-16
1.0000000000e-03,-2.3000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5490813630e-20,-4.6399893800e-32,-3.2283260070e-16,4.8798848120e-20,3.2283260070e-16,4.6399893800e-32,3.2283260070e-16,7.1995379930e-19,-3.2283260070e-16
1.0000000000e-03,-2.2000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1626301020e-20,-4.6260735510e-32,-3.2224936770e-16,-1.6414313720e-20,3.2224936770e-16,4.6260735510e-32,3.2224936770e-16,-2.7959849600e-18,-3.2224936770e-16
1.0000000000e-03,-2.1000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.7117114650e-20,-4.6098122290e-32,-3.2157867200e-16,7.3893245400e-21,3.2157867200e-16,4.6098122290e-32,3.2157867200e-16,-1.5730497400e-18,-3.2157867200e-16
1.0000000000e-03,-2.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9989078940e-20,-4.5906636200e-32,-3.2080138610e-16,-2.3633259630e-20,3.2080138610e-16,4.5906636200e-32,3.2080138610e-16,6.8050427610e-19,-3.2080138610e-16
1.0000000000e-03,-1.9000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3451111700e-20,-4.5679289280e-32,-3.1989302730e-16,1.5107047310e-20,3.1989302730e-16,4.5679289280e-32,3.1989302730e-16,2.0513752090e-18,-3.1989302730e-16
1.0000000000e-03,-1.8000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4674932860e-20,-4.5407005890e-32,-3.1882203300e-16,-1.5674674930e-20,3.1882203300e-16,4.5407005890e-32,3.1882203300e-16,-2.7614666280e-19,-3.1882203300e-16
1.0000000000e-03,-1.7000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2238211600e-20,-4.5077941070e-32,-3.1754749750e-16,1.8564014600e-20,3.1754749750e-16,4.5077941070e-32,3.1754749750e-16,4.5860070780e-19,-3.1754749750e-16
1.0000000000e-03,-1.6000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7938455950e-20,-4.4676615800e-32,-3.1601630510e-16,-2.2761116130e-20,3.1601630510e-16,4.4676615800e-32,3.1601630510e-16,-1.4497699800e-18,-3.1601630510e-16
1.0000000000e-03,-1.5000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.5700244350e-20,-4.4182902400e-32,-3.1415975550e-16,-1.3499104140e-20,3.1415975550e-16,4.4182902400e-32,3.1415975550e-16,4.6353189820e-19,-3.1415975550e-16
1.0000000000e-03,-1.4000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0794038660e-22,-4.3571035390e-32,-3.1189022010e-16,-3.2381298600e-20,3.1189022010e-16,4.3571035390e-32,3.1189022010e-16,-4.7339427900e-19,-3.1189022010e-16
1.0000000000e-03,-1.3000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0595528990e-20,-4.2809138790e-32,-3.0909934870e-16,2.2455230660e-20,3.0909934870e-16,4.2809138790e-32,3.0909934870e-16,-2.9094023400e-19,-3.0909934870e-16
1.0000000000e-03,-1.2000000000e+00,0.0000000000e+00,0.0000000000e+00,1.5501734690e-20,-4.1860335310e-32,-3.0566114920e-16,2.2761523290e-20,3.0566114920e-16,4.1860335310e-32,3.0566114920e-16,-9.4185736760e-19,-3.0566114920e-16
1.0000000000e-03,-1.1000000000e+00,0.0000000000e+00,0.0000000000e+00,5.7111654120e-21,-4.0687208430e-32,-3.0144553430e-16,4.0896733840e-20,3.0144553430e-16,4.0687208430e-32,3.0144553430e-16,-7.2488498980e-19,-3.0144553430e-16
1.0000000000e-03,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.5490813630e-20,-3.9261325650e-32,-2.9634797860e-16,2.9251086570e-20,2.9634797860e-16,3.9261325650e-32,2.9634797860e-16,-4.2901356540e-19,-2.9634797860e-16
1.0000000000e-03,-9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-4.2017859820e-20,-3.7576607010e-32,-2.9033224300e-16,-2.0321768450e-20,2.9033224300e-16,3.7576607010e-32,2.9033224300e-16,-3.7477047090e-19,-2.9033224300e-16
1.0000000000e-03,-8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-3.3655081890e-20,-3.5658788930e-32,-2.8346269600e-16,3.7365822990e-20,2.8346269600e-16,3.5658788930e-32,2.8346269600e-16,4.5860070780e-19,-2.8346269600e-16
1.0000000000e-03,-7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.4685853920e-20,-3.3560872280e-32,-2.7589349750e-16,-3.8347021230e-20,2.7589349750e-16,3.3560872280e-32,2.7589349750e-16,-6.6571070490e-19,-2.7589349750e-16
1.0000000000e-03,-6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-2.9779648220e-20,-3.1348176690e-32,-2.6782266930e-16,-1.2649884700e-20,2.6782266930e-16,3.1348176690e-32,2.6782266930e-16,-7.1009141850e-19,-2.6782266930e-16
1.0000000000e-03,-5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,5.0992548320e-21,-2.9091190960e-32,-2.5946799470e-16,-1.4468961720e-20,2.5946799470e-16,2.9091190960e-32,2.5946799470e-16,7.3967856100e-20,-2.5946799470e-16
1.0000000000e-03,-4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,3.9978157880e-20,-2.6867436880e-32,-2.5107430780e-16,9.9763026430e-23,2.5107430780e-16,2.6867436880e-32,2.5107430780e-16,-3.7477047090e-19,-2.5107430780e-16
1.0000000000e-03,-3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-2.9575678030e-20,-2.4752874080e-32,-2.4289215800e-16,1.4367772740e-20,2.4289215800e-16,2.4752874080e-32,2.4289215800e-16,3.8956404210e-19,-2.4289215800e-16
1.0000000000e-03,-2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.5909675080e-20,-2.2803273690e-32,-2.3512144310e-16,-6.7445830260e-21,2.3512144310e-16,2.2803273690e-32,2.3512144310e-16,-8.9254546360e-19,-2.3512144310e-16
1.0000000000e-03,-1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-6.7310163780e-21,-2.1043931260e-32,-2.2787377260e-16,4.0095434000e-21,2.2787377260e-16,2.1043931260e-32,2.2787377260e-16,-8.2843998830e-19,-2.2787377260e-16
1.0000000000e-03,3.5589908190e-15,0.0000000000e+00,0.0000000000e+00,-9.1786586970e-21,-1.9473883260e-32,-2.2117641540e-16,-3.7821491620e-21,2.2117641540e-16,1.9473883260e-32,2.2117641540e-16,-8.9254546350e-19,-2.2117641540e-16
1.0000000000e-03,1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-2.5496274160e-20,-1.8084046270e-32,-2.1500470390e-16,-6.0476586100e-21,2.1500470390e-16,1.8084046270e-32,2.1500470390e-16,-2.1697237680e-19,-2.1500470390e-16
1.0000000000e-03,2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.1218360630e-20,-1.6973844320e-32,-2.0931181410e-16,-7.9894001860e-21,2.0931181410e-16,1.6973844320e-32,2.0931181410e-16,1.1588297470e-18,-2.0931181410e-16
1.0000000000e-03,3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-2.4068482810e-20,-1.8430558050e-32,-2.0404414070e-16,-4.9994143700e-21,2.0404414070e-16,1.8430558050e-32,2.0404414070e-16,1.0848618980e-19,-2.0404414070e-16
1.0000000000e-03,4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.5909675080e-20,-7.1954892050e-32,-1.9915359220e-16,1.0888683460e-20,1.9915359220e-16,7.1954892030e-32,1.9915359220e-16,6.4105483850e-20,-1.9915359220e-16
