"Frequency","Anode Voltage","Anode Current","Cathode Voltage","Cathode Current","G Anode>Anode","C Anode>Anode","G Cathode>Anode","C Cathode>Anode","G Anode>Cathode","C Anode>Cathode","G Cathode>Cathode","C Cathode>Cathode"
1.0000000000e-03,-5.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2875618460e-21,-8.6173983690e-32,-1.7062598000e-16,2.4549251580e-19,1.7062598000e-16,8.6173983690e-32,1.7062598000e-16,1.7639484480e-17,-1.7062598000e-16
1.0000000000e-03,-4.9000000000e+00,0.0000000000e+00,0.0000000000e+00,5.4816989600e-22,-8.6140969620e-32,-1.7056937540e-16,4.1093089570e-20,1.7056937540e-16,8.6140969620e-32,1.7056937540e-16,1.3107104100e-17,-1.7056937540e-16
1.0000000000e-03,-4.8000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7464947820e-21,-8.6106099150e-32,-1.7050986630e-16,-6.5335238440e-19,1.7050986630e-16,8.6106099150e-32,1.7050986630e-16,-2.6853413760e-17,-1.7050986630e-16
1.0000000000e-03,-4.7000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2110730230e-21,-8.6069226440e-32,-1.7044723460e-16,-9.9344489460e-19,1.7044723460e-16,8.6069226440e-32,1.7044723460e-16,-7.9507432120e-17,-1.7044723460e-16
1.0000000000e-03,-4.6000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.1870342930e-22,-8.6030190130e-32,-1.7038123990e-16,-1.5701841470e-19,1.7038123990e-16,8.6030190130e-32,1.7038123990e-16,-4.0019692140e-17,-1.7038123990e-16
1.0000000000e-03,-4.5000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.9038450020e-22,-8.5988811170e-32,-1.7031161670e-16,1.0286815890e-18,1.7031161670e-16,8.5988811170e-32,1.7031161670e-16,8.8910595830e-17,-1.7031161670e-16
1.0000000000e-03,-4.4000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.6488822440e-23,-8.5944890340e-32,-1.7023807130e-16,9.0418967860e-21,1.7023807130e-16,8.5944890340e-32,1.7023807130e-16,-7.1995379940e-19,-1.7023807130e-16
1.0000000000e-03,-4.3000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1289388920e-21,-8.5898205290e-32,-1.7016027720e-16,-8.0079977480e-19,1.7016027720e-16,8.5898205290e-32,1.7016027720e-16,-5.5865456120e-17,-1.7016027720e-16
1.0000000000e-03,-4.2000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.3258062560e-21,-8.5848507080e-32,-1.7007787110e-16,3.6474117540e-19,1.7007787110e-16,8.5848507080e-32,1.7007787110e-16,1.3931229300e-17,-1.7007787110e-16
1.0000000000e-03,-4.1000000000e+00,0.0000000000e+00,0.0000000000e+00,5.6091803120e-22,-8.5795516060e-32,-1.6999044730e-16,1.4461833620e-19,1.6999044730e-16,8.5795516060e-32,1.6999044730e-16,4.1127977190e-17,-1.6999044730e-16
1.0000000000e-03,-4.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.6488823750e-23,-8.5738916950e-32,-1.6989755110e-16,1.6944157440e-19,1.6989755110e-16,8.5738916950e-32,1.6989755110e-16,3.8004068060e-17,-1.6989755110e-16
1.0000000000e-03,-3.9000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.9916244240e-22,-8.5678353020e-32,-1.6979867170e-16,6.1872052480e-19,1.6979867170e-16,8.5678353020e-32,1.6979867170e-16,2.0737504860e-17,-1.6979867170e-16
1.0000000000e-03,-3.8000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.9236959680e-22,-8.5613419030e-32,-1.6969323280e-16,2.2451258800e-19,1.6969323280e-16,8.5613419030e-32,1.6969323280e-16,3.2114377520e-18,-1.6969323280e-16
1.0000000000e-03,-3.7000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.9038450050e-22,-8.5543652720e-32,-1.6958058170e-16,-1.7005984490e-19,1.6958058170e-16,8.5543652710e-32,1.6958058170e-16,-4.0542398330e-17,-1.6958058170e-16
1.0000000000e-03,-3.6000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7153531990e-21,-8.5468524480e-32,-1.6945997690e-16,2.3387955290e-19,1.6945997690e-16,8.5468524480e-32,1.6945997690e-16,7.6575223020e-18,-1.6945997690e-16
1.0000000000e-03,-3.5000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1360417240e-21,-8.5387424720e-32,-1.6933057190e-16,1.7114964600e-19,1.6933057190e-16,8.5387424720e-32,1.6933057190e-16,1.0443644880e-17,-1.6933057190e-16
1.0000000000e-03,-3.4000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.8357317400e-21,-8.5299648330e-32,-1.6919139650e-16,1.8942399970e-19,1.6919139650e-16,8.5299648330e-32,1.6919139650e-16,8.4446635660e-20,-1.6919139650e-16
1.0000000000e-03,-3.3000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.9435469150e-22,-8.5204375470e-32,-1.6904133330e-16,-6.2201315030e-19,1.6904133330e-16,8.5204375470e-32,1.6904133330e-16,-2.9261683870e-17,-1.6904133330e-16
1.0000000000e-03,-3.2000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6771087710e-22,-8.5100647620e-32,-1.6887908880e-16,3.3234421060e-20,1.6887908880e-16,8.5100647620e-32,1.6887908880e-16,-2.8594740370e-18,-1.6887908880e-16
1.0000000000e-03,-3.1000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0198509670e-21,-8.4987337470e-32,-1.6870315850e-16,4.7460380740e-19,1.6870315850e-16,8.4987337470e-32,1.6870315850e-16,-1.2426599820e-18,-1.6870315850e-16
1.0000000000e-03,-3.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0906944850e-21,-8.4863110980e-32,-1.6851178180e-16,-3.2823918040e-19,1.6851178180e-16,8.4863110980e-32,1.6851178180e-16,-4.2729381270e-17,-1.6851178180e-16
1.0000000000e-03,-2.9000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9249687000e-21,-8.4726378770e-32,-1.6830288650e-16,3.4320997950e-19,1.6830288650e-16,8.4726378770e-32,1.6830288650e-16,-2.1962289270e-18,-1.6830288650e-16
1.0000000000e-03,-2.8000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2493174350e-21,-8.4575233810e-32,-1.6807401830e-16,9.0348378650e-19,1.6807401830e-16,8.4575233810e-32,1.6807401830e-16,9.9529914370e-18,-1.6807401830e-16
1.0000000000e-03,-2.7000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.4405394910e-21,-8.4407370340e-32,-1.6782225000e-16,-2.4026451370e-19,1.6782225000e-16,8.4407370330e-32,1.6782225000e-16,-1.0583567410e-17,-1.6782225000e-16
1.0000000000e-03,-2.6000000000e+00,0.0000000000e+00,0.0000000000e+00,1.8994724260e-21,-8.4219977620e-32,-1.6754406500e-16,8.0631642930e-20,1.6754406500e-16,8.4219977620e-32,1.6754406500e-16,-1.1686921260e-18,-1.6754406500e-16
1.0000000000e-03,-2.5000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.3839016380e-21,-8.4009599160e-32,-1.6723520590e-16,7.3682944710e-20,1.6723520590e-16,8.4009599160e-32,1.6723520590e-16,5.1987074860e-18,-1.6723520590e-16
1.0000000000e-03,-2.4000000000e+00,0.0000000000e+00,0.0000000000e+00,2.4093979070e-21,-8.3771943990e-32,-1.6689047430e-16,1.2210429850e-19,1.6689047430e-16,8.3771943990e-32,1.6689047430e-16,6.6534086560e-18,-1.6689047430e-16
