"Frequency","Anode Voltage","Anode Current","Cathode Voltage","Cathode Current","G Anode>Anode","C Anode>Anode","G Cathode>Anode","C Cathode>Anode","G Anode>Cathode","C Anode>Cathode","G Cathode>Cathode","C Cathode>Cathode"
1.0000000000e-03,-5.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3678751080e-20,-4.0279006100e-31,-3.4326750820e-16,1.5274724820e-20,3.4326750820e-16,4.0279006100e-31,3.4326750820e-16,-3.1220599260e-18,-3.4326750820e-16
1.0000000000e-03,-4.9000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9519224910e-22,-4.0275535880e-31,-3.4322401920e-16,-1.2050657460e-19,3.4322401920e-16,4.0275535880e-31,3.4322401920e-16,-4.2032234230e-18,-3.4322401920e-16
1.0000000000e-03,-4.8000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.4221460570e-22,-4.0271809270e-31,-3.4317863990e-16,1.1724025390e-21,3.4317863990e-16,4.0271809270e-31,3.4317863990e-16,-1.6285256320e-18,-3.4317863990e-16
1.0000000000e-03,-4.7000000000e+00,0.0000000000e+00,0.0000000000e+00,2.3966497720e-21,-4.0267806570e-31,-3.4313124640e-16,-4.3359348150e-20,3.4313124640e-16,4.0267806570e-31,3.4313124640e-16,-4.9903646910e-18,-3.4313124640e-16
1.0000000000e-03,-4.6000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.1870342850e-22,-4.0263506180e-31,-3.4308170390e-16,2.3439950300e-20,3.4308170390e-16,4.0263506180e-31,3.4308170390e-16,-1.5348330140e-18,-3.4308170390e-16
1.0000000000e-03,-4.5000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7337466440e-21,-4.0258884400e-31,-3.4302986530e-16,-6.1347830510e-20,3.4302986530e-16,4.0258884400e-31,3.4302986530e-16,4.7462707670e-20,-3.4302986530e-16
1.0000000000e-03,-4.4000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2875618450e-21,-4.0253915190e-31,-3.4297557010e-16,-1.9177389200e-20,3.4297557010e-16,4.0253915190e-31,3.4297557010e-16,3.0018621600e-19,-3.4297557010e-16
1.0000000000e-03,-4.3000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2748138220e-23,-4.0248569830e-31,-3.4291864240e-16,-8.2344759980e-20,3.4291864240e-16,4.0248569830e-31,3.4291864240e-16,5.5352612310e-19,-3.4291864240e-16
1.0000000000e-03,-4.2000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.1588077230e-22,-4.0242816620e-31,-3.4285888980e-16,9.9856707430e-20,3.4285888980e-16,4.0242816620e-31,3.4285888980e-16,-2.0217880670e-18,-3.4285888980e-16
1.0000000000e-03,-4.1000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.5297764520e-21,-4.0236620510e-31,-3.4279610050e-16,-1.6041619840e-20,3.4279610050e-16,4.0236620510e-31,3.4279610050e-16,-1.2814931070e-18,-3.4279610050e-16
1.0000000000e-03,-4.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.3740685880e-23,-4.0229942650e-31,-3.4273004160e-16,-4.8398396120e-20,3.4273004160e-16,4.0229942650e-31,3.4273004160e-16,-3.6977764060e-18,-3.4273004160e-16
1.0000000000e-03,-3.9000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0708435160e-21,-4.0222739850e-31,-3.4266045600e-16,-6.6015447670e-20,3.4266045600e-16,4.0222739850e-31,3.4266045600e-16,1.5416134010e-18,-3.4266045600e-16
1.0000000000e-03,-3.8000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6445096840e-21,-4.0214964050e-31,-3.4258705930e-16,2.6550859160e-20,3.4258705930e-16,4.0214964050e-31,3.4258705930e-16,-2.7435910620e-18,-3.4258705930e-16
1.0000000000e-03,-3.7000000000e+00,0.0000000000e+00,0.0000000000e+00,2.4221460610e-22,-4.0206561570e-31,-3.4250953640e-16,-5.2308824150e-20,3.4250953640e-16,4.0206561570e-31,3.4250953640e-16,1.5921581020e-18,-3.4250953640e-16
1.0000000000e-03,-3.6000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0071028310e-21,-4.0197472360e-31,-3.4242753670e-16,4.0528296230e-23,3.4242753670e-16,4.0197472360e-31,3.4242753670e-16,-1.5188066450e-18,-3.4242753670e-16
1.0000000000e-03,-3.5000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.5935171350e-21,-4.0187629020e-31,-3.4234066970e-16,-3.9070088950e-20,3.4234066970e-16,4.0187629020e-31,3.4234066970e-16,-2.7109219260e-18,-3.4234066970e-16
